app,machine,scene1,scene2,layout,collisions,collision-time-ms,fcl-collision-time-ms,build-time-ms,fcl-build-time-ms,group,triangle-memory-b
cd,x86,hairball,dragon,fcl,123055,316,344,1301,2223,None,135050904
cd,x86,hairball,dragon,fcl,123055,316,343,1313,2222,None,135050904
cd,x86,hairball,dragon,fcl,123055,378,343,1345,2248,None,135050904
cd,x86,hairball,dragon,fcl,123055,378,344,1346,2239,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,209,190,1303,2224,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,208,189,1302,2220,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,208,188,1319,2219,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,208,189,1316,2220,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,207,190,1303,2222,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,272,189,1351,2251,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,208,189,1322,2221,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,271,189,1345,2234,None,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,fcl,48238,208,190,1341,2222,None,135050904
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7424,10185,2508,4247,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7518,10184,2503,4244,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7429,10187,2527,4243,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7420,10189,2525,4246,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7424,10188,2538,4250,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7518,10185,2511,4246,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7444,10186,2559,4243,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7423,10193,2545,4243,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt-q16,5118441,7430,10198,2504,4249,bvh2,207360000
cd,x86,hairball,dragon,pbrt-q16,123055,447,348,1358,2223,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,446,347,1358,2210,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,388,347,1300,2200,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,388,349,1302,2196,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,384,348,1305,2198,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,384,348,1316,2195,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,450,348,1354,2195,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,384,348,1317,2197,bvh2,135050904
cd,x86,hairball,dragon,pbrt-q16,123055,388,348,1306,2197,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,248,192,1324,2194,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,248,192,1317,2196,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,248,192,1303,2195,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,310,191,1353,2221,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,312,190,1352,2213,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,311,191,1356,2204,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,248,192,1331,2195,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,248,191,1321,2194,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt-q16,48238,247,191,1304,2194,bvh2,135050904
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6239,10907,2540,4480,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6251,10899,2536,4483,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6248,10914,2535,4482,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6245,10917,2539,4477,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6242,10911,2541,4476,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6248,10926,2542,4479,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6251,10921,2535,4480,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6258,10913,2533,4489,bvh2,207360000
cd,x86,hairball,hairball_60_70_10,pbrt,5118441,6244,11207,2539,4478,bvh2,207360000
cd,x86,hairball,dragon,pbrt,123055,368,347,1356,2197,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,381,353,1396,2229,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,317,347,1311,2195,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,380,347,1357,2212,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,380,348,1357,2196,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,328,348,1389,2221,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,317,347,1309,2197,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,317,347,1318,2196,bvh2,135050904
cd,x86,hairball,dragon,pbrt,123055,338,346,1366,2209,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,210,191,1308,2194,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,217,191,1364,2231,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,209,191,1309,2196,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,210,191,1333,2195,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,210,191,1368,2195,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,210,190,1307,2195,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,210,191,1324,2193,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,210,191,1318,2196,bvh2,135050904
cd,x86,hairball_60_70_10,dragon_60_70_10,pbrt,48238,273,191,1382,2212,bvh2,135050904
