app,machine,scene,layout,intersect,ray_count,hits,trace_time-ms,group,ray_type,total-memory-b,bvh-memory-b
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,254,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,504,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,33,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,68,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,130,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,256,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,510,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,17,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,33,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,65,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,127,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,251,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,501,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,35,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,69,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,134,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,266,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,529,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,34,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,67,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,132,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,260,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,519,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,20,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,34,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,68,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,134,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,264,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,528,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,19,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,35,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,68,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,134,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,265,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,539,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,18,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,35,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,68,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,136,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,267,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,529,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,262144,196779,21,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,524288,393812,38,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,1048576,787966,74,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,2097152,1576388,146,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,4194304,3153716,290,embree,primary,1175461036,165454828
rt,x86,lucy,embree-bvh8i,mt,8388608,6308383,560,embree,primary,1175461036,165454828
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,55,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,106,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,209,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,410,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,806,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1589,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,54,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,106,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,208,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,407,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,801,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1581,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,54,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,106,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,218,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,410,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,808,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1590,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,55,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,107,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,210,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,413,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,814,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1605,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,55,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,108,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,209,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,410,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,807,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1591,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,55,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,108,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,209,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,411,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,809,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1592,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,55,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,107,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,210,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,412,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,810,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1597,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,55,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,106,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,208,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,409,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,804,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1587,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,262144,261955,55,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,524288,523900,108,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,1048576,1047818,211,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,2097152,2095619,418,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,4194304,4191236,817,embree,primary,74646028,-32189876
rt,x86,sheep,embree-qbvh8i,pc,8388608,8382464,1605,embree,primary,74646028,-32189876
rt,x86,sheep,embree-bvh8i,mt,262144,261955,43,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,83,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,164,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,322,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,657,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1255,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,42,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,89,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,161,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,317,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,623,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1226,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,42,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,82,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,160,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,314,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,616,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1217,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,42,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,81,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,159,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,312,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,619,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1210,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,43,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,83,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,164,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,322,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,638,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1264,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,43,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,83,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,161,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,317,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,623,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1229,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,43,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,83,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,164,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,323,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,635,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1256,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,43,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,83,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,166,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,321,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,633,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1249,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,262144,261955,42,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,524288,523900,82,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,1048576,1047818,161,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,2097152,2095619,315,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,4194304,4191236,624,embree,primary,83265323,-23570581
rt,x86,sheep,embree-bvh8i,mt,8388608,8382465,1241,embree,primary,83265323,-23570581
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,25,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,49,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,98,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,194,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,390,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,780,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,22,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,42,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,85,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,170,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,339,embree,primary,306746228,-47225068
