app,machine,scene,layout,ray_count,hits,trace_time-ms,group,ray_type,total-memory-b,bvh-memory-b
rt,x86,lucy,pbrt,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,67,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,123,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,237,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,262144,196779,11,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,65,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,125,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,237,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,262144,196779,13,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,524288,393812,20,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,66,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,123,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,236,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,262144,196779,11,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,1048576,787966,33,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,65,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,123,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,236,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,262144,196779,12,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,1048576,787966,36,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,64,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,123,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,240,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,262144,196779,11,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,524288,393812,17,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,64,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,125,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,240,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,262144,196779,11,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,524288,393812,17,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,65,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,124,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,240,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,262144,196779,13,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,2097152,1576388,64,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,4194304,3153714,123,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt,8388608,6308380,237,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-q16,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,144,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,285,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,146,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,12,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,147,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,284,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,40,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,77,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,147,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,284,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,76,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,147,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,284,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,21,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,78,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,144,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,284,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,147,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,144,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,280,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,262144,196779,15,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,524288,393812,21,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,2097152,1576388,78,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,4194304,3153714,147,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16,8388608,6308380,289,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,21,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,144,bvh2,primary,1095462448,85456240
